ID;xa;xb;xm;xn;ya;yb;ym;yn;za;zb;zm;zn;idx_a;idx_b;idx_m;idx_n;rhoa;err;k;array;L;b;b_on_L;DOI_coef;xDOI;yDOI;idx_cell_DOI;frechet_DOI;rhoa_th
98;-7.5;-6.0;4.5;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;6;13;14;56.6492295589198;0.0100416294013324;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;-0.75;-2.3104391911935265;889;1.9872675545561045e-06;56.43608547760419
99;-6.0;-4.5;6.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;7;14;15;59.5429799134376;0.0100396062960688;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;0.75;-2.3104391911935265;1017;1.9490483093120437e-06;59.30151987805687
100;-4.5;-3.0;7.5;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;8;15;16;63.5171610332179;0.0100371282499327;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;2.25;-2.3104391911935265;890;4.042622246249206e-06;63.01306234412416
101;-3.0;-1.5;9.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;9;16;17;63.8703438658429;0.0100369229478032;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;3.75;-2.3104391911935265;1037;3.2259322637615366e-06;63.29325410561976
102;-1.5;0.0;10.5;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;10;17;18;59.8929363073408;0.010039374881633;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;5.25;-2.3104391911935265;5475;3.765773562672352e-06;59.32805202973718
103;0.0;1.5;12.0;13.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10;11;18;19;52.8094053451767;0.0100446562206481;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;6.75;-2.3104391911935265;1022;1.8001552848768758e-06;52.62911931933574
104;1.5;3.0;13.5;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11;12;19;20;48.483703727149;0.0100486402981267;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;8.25;-2.3104391911935265;1077;1.1177239249320728e-06;48.569450813338534
105;-15.0;-13.5;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;9;10;79.5193665030046;0.0100423665397517;-540.0000000000022;DD;15.0;12.0;0.8;0.17335954565312406;-7.5;-2.600393184796861;1425;2.8674853128797396e-07;80.05762817483154
106;-13.5;-12.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;10;11;74.7466794261199;0.0100450716202232;-540.0000000000022;DD;15.0;12.0;0.8;0.17335954565312406;-6.0;-2.600393184796861;1443;-1.3126622290157847e-08;75.09361664985128
107;-12.0;-10.5;1.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;3;11;12;61.297015297887;0.0100549607568588;-540.0000000000022;DD;15.0;12.0;0.8;0.17335954565312406;-4.5;-2.600393184796861;939;2.1195402760718798e-07;61.580417694599035
108;-10.5;-9.0;3.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;4;12;13;52.7733215180308;0.0100638373533966;-540.0000000000022;DD;15.0;12.0;0.8;0.17335954565312406;-3.0;-2.600393184796861;2951;1.7373758186415316e-07;52.76565393214194
109;-9.0;-7.5;4.5;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;5;13;14;54.3890009363233;0.0100619410844452;-540.0000000000022;DD;15.0;12.0;0.8;0.17335954565312406;-1.5;-2.600393184796861;2981;3.8501033147504743e-07;54.246312466694846
110;-7.5;-6.0;6.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;6;14;15;59.9993860050735;0.0100561493665589;-540.0000000000022;DD;15.0;12.0;0.8;0.17335954565312406;0.0;-2.600393184796861;3035;7.463426271253995e-07;59.806757567030374
111;-6.0;-4.5;7.5;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;7;15;16;66.6041012922267;0.0100505815818649;-540.0000000000022;DD;15.0;12.0;0.8;0.17335954565312406;1.5;-2.600393184796861;3041;1.995449423702325e-06;66.19113890926624
112;-4.5;-3.0;9.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;8;16;17;69.0268996415005;0.0100488062632859;-540.0000000000022;DD;15.0;12.0;0.8;0.17335954565312406;3.0;-2.600393184796861;6550;3.250691324744173e-06;68.45039775115688
113;-3.0;-1.5;10.5;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;9;17;18;65.9371105488129;0.0100510932243361;-540.0000000000022;DD;15.0;12.0;0.8;0.17335954565312406;4.5;-2.600393184796861;5473;2.640899839157002e-06;65.4031754618888
